39, State-gov, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,2174,0,40, United-States, <=50K
55, Private, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
31, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K
51, Self-emp-not-inc, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
56, Private, 12th,8, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
39, Private, Assoc-acdm,12, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
50, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
34, Local-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2051,40, United-States, <=50K
44, Private, HS-grad,9, Divorced, Sales, Not-in-family, White, Male,3674,0,50, United-States, <=50K
21, Private, HS-grad,9, Never-married, Protective-serv, Own-child, White, Male,0,0,40, United-States, <=50K
37, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,70, United-States, <=50K
34, Private, 10th,6, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, Columbia, <=50K
18, Private, 12th,8, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,30, United-States, <=50K
34, Private, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,2885,0,80, United-States, <=50K
38, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,65, United-States, >50K
19, Private, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Male,0,0,12, United-States, <=50K
46, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,25, United-States, <=50K
22, Private, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,20, Mexico, <=50K
38, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
33, Private, Masters,14, Divorced, Exec-managerial, Own-child, White, Female,14084,0,50, United-States, >50K
83, Self-emp-not-inc, HS-grad,9, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,8, United-States, <=50K
34, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
38, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Some-college,10, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
27, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0,1887,40, United-States, >50K
38, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
25, Private, Some-college,10, Never-married, Other-service, Not-in-family, White, Male,0,0,25, United-States, <=50K
38, Private, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
52, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
